date,symbol,y_1,y_5,y_21,MA1.close-to-close,MA5.close-to-close,MA20.close-to-close,MA1.neg_ret_cc,MA5.neg_ret_cc,MA1.SPY.close-to-close,MA5.SPY.close-to-close,MA20.SPY.close-to-close
2013-04-05,QQQ,13.278949,16.137048,17.475221,0.465414,8.450215,6.900029,-0.029318,0.107845,6.430492,8.317244,7.135503
2013-04-08,QQQ,8.398253,15.013195,17.285518,13.278949,10.32271,7.35564,0.836495,0.324487,7.146744,8.772313,7.349145
2013-04-09,QQQ,10.668851,20.284152,17.189159,8.398253,9.831625,7.683192,-0.52904,0.081935,10.707451,9.654721,7.546775
2013-04-10,QQQ,30.67367,21.824669,17.112563,10.668851,9.472656,7.9862,-0.672074,0.104548,5.477464,9.187708,7.519979
2013-04-11,QQQ,0.679787,22.026391,15.756377,30.67367,12.697027,9.231672,-1.93226,-0.465239,19.326417,9.817714,8.308034
2013-04-12,QQQ,1.135312,24.133233,15.894051,0.679787,12.739902,9.161607,0.042823,-0.450811,5.19444,9.570503,8.455645
2013-04-15,QQQ,31.63518,25.989196,15.897848,1.135312,10.311175,8.952698,0.071518,-0.603807,3.893923,8.919939,8.22885
2013-04-16,QQQ,20.932537,22.978278,14.432876,31.63518,14.95856,10.313338,1.992829,-0.099433,37.221282,14.222705,9.985021
2013-04-17,QQQ,31.386345,22.0529,13.709162,20.932537,17.011297,11.186119,-1.318626,-0.228743,23.265282,17.780269,10.709073
2013-04-18,QQQ,22.061669,17.011893,11.881633,31.386345,17.153832,12.604289,1.977154,0.55314,23.367657,18.588517,11.692859
2013-04-19,QQQ,21.596666,14.363501,11.360434,22.061669,21.430209,13.150961,1.389754,0.822526,9.957974,19.541224,11.63825
2013-04-22,QQQ,16.235744,10.865338,10.34952,21.596666,25.522479,13.324618,-1.360462,0.53613,13.740163,21.510472,11.644261
2013-04-23,QQQ,15.159706,10.373087,9.731374,16.235744,22.442592,13.368999,-1.022756,-0.066987,7.029118,15.472039,11.360631
2013-04-24,QQQ,0.687915,9.383301,9.645189,15.159706,21.288026,13.837196,-0.954972,0.005744,16.282078,14.075398,11.842488
2013-04-25,QQQ,8.44071,9.949043,9.677194,0.687915,15.14834,13.443033,0.043335,-0.38102,1.006134,9.603094,11.260117
2013-04-26,QQQ,5.014283,12.818575,9.502172,8.44071,12.424148,13.761118,-0.531715,-0.765314,6.421698,8.895838,11.581202
2013-04-29,QQQ,14.53706,15.114696,9.705309,5.014283,9.107671,13.816009,0.31587,-0.430047,2.80614,6.709034,11.477939
2013-04-30,QQQ,11.491028,13.919742,9.31857,14.53706,8.767935,14.000178,-0.915749,-0.408646,10.598168,7.422844,11.693077
2013-05-01,QQQ,7.426901,12.942352,9.160015,11.491028,8.034199,13.951545,-0.723867,-0.362425,3.782273,4.922883,11.491564
2013-05-02,QQQ,19.94762,12.969295,9.56693,7.426901,9.381996,13.595299,0.467851,-0.277522,13.979081,7.517472,11.381699
2013-05-03,QQQ,18.596612,9.46441,8.541378,19.94762,11.683378,14.569409,-1.256582,-0.422495,14.675063,9.168145,11.793928
2013-05-06,QQQ,6.152401,6.22911,7.727875,18.596612,14.399844,14.835292,-1.171476,-0.719965,16.016192,11.810156,12.2374
2013-05-07,QQQ,0.877456,5.656523,8.860581,6.152401,12.722912,14.723,-0.387565,-0.614328,4.028312,10.496184,11.903443
2013-05-08,QQQ,7.658302,6.736307,9.016202,0.877456,10.600198,14.23343,0.055275,-0.4585,8.026087,11.344947,12.030874
2013-05-09,QQQ,2.183971,5.978432,10.031494,7.658302,10.646478,13.082662,-0.482428,-0.648555,7.208146,9.99076,11.424961
2013-05-10,QQQ,9.589983,5.948354,10.021165,2.183971,7.093748,13.157871,0.137577,-0.369723,4.475967,7.950941,11.389037
2013-05-13,QQQ,1.95557,7.965874,10.393493,9.589983,5.292423,13.580604,-0.604112,-0.256251,5.156357,5.778974,11.452159
2013-05-14,QQQ,8.226652,7.98727,11.138062,1.95557,4.453057,12.096624,-0.123189,-0.203375,1.261595,5.22563,9.654174
2013-05-15,QQQ,3.235537,7.130676,11.825536,8.226652,5.922896,11.46133,-0.51823,-0.318076,16.32095,6.884603,9.306958
2013-05-16,QQQ,1.725119,9.364946,12.025039,3.235537,5.038343,10.053789,-0.20382,-0.262355,8.527008,7.148375,8.564925
2013-05-17,QQQ,15.242339,9.476236,12.4742,1.725119,4.946572,9.036962,0.108672,-0.268136,7.470179,7.747218,8.440535
2013-05-20,QQQ,2.351795,6.594218,12.352625,15.242339,6.077043,8.719245,-0.960177,-0.339349,15.288285,9.773603,8.517942
2013-05-21,QQQ,1.711175,7.987085,12.938121,2.351795,6.156289,8.025048,0.148149,-0.285081,0.096315,9.540547,8.171301
